anon_ID,county,poverty,minority,age_group
610,Montgomery,No,NA,NA
275,Montgomery,No,NA,NA
10,Montgomery,Yes,NA,NA
68,Montgomery,No,NA,NA
62,Montgomery,No,NA,NA
53,Montgomery,Yes,No,NA
491,Montgomery,Yes,NA,NA
596,Montgomery,Yes,NA,NA
538,Montgomery,Yes,Yes,NA
460,Montgomery,Yes,NA,NA
108,Montgomery,Yes,NA,NA
518,Montgomery,Yes,NA,NA
286,Montgomery,No,NA,NA
205,Montgomery,No,NA,NA
331,Montgomery,No,NA,NA
259,Montgomery,No,NA,NA
174,Montgomery,No,NA,NA
372,Montgomery,Yes,No,NA
471,Montgomery,No,NA,NA
549,Montgomery,Yes,NA,NA
532,Montgomery,No,No,NA
577,Montgomery,Yes,NA,NA
464,Montgomery,Yes,NA,NA
617,Montgomery,Yes,NA,NA
353,Montgomery,Yes,NA,NA
379,Montgomery,Yes,NA,NA
548,Montgomery,Yes,No,NA
179,Montgomery,Yes,NA,NA
238,Montgomery,Yes,NA,NA
127,Montgomery,Yes,NA,NA
311,Montgomery,Yes,NA,NA
159,Montgomery,Yes,NA,NA
419,Montgomery,Yes,NA,NA
274,Montgomery,No,NA,NA
627,Montgomery,Yes,NA,NA
457,Montgomery,No,No,NA
6,Montgomery,Yes,NA,NA
265,Montgomery,No,NA,NA
231,Montgomery,Yes,Yes,NA
96,Montgomery,Yes,NA,NA
133,Montgomery,No,NA,NA
230,Montgomery,No,NA,NA
294,Montgomery,Yes,NA,NA
291,Montgomery,Yes,NA,NA
149,Montgomery,Yes,NA,NA
591,Montgomery,Yes,NA,NA
295,Montgomery,Yes,NA,NA
290,Montgomery,Yes,NA,NA
447,Montgomery,Yes,NA,NA
329,Montgomery,Yes,NA,NA
624,Montgomery,Yes,NA,NA
558,Montgomery,Yes,NA,NA
183,Montgomery,Yes,NA,NA
555,Montgomery,Yes,NA,NA
432,Montgomery,Yes,NA,NA
344,Montgomery,Yes,NA,NA
579,Montgomery,Yes,NA,NA
373,Montgomery,Yes,NA,NA
13,Montgomery,No,NA,NA
509,Montgomery,Yes,NA,NA
103,Montgomery,No,No,NA
240,Montgomery,Yes,NA,NA
539,Montgomery,Yes,NA,NA
19,Montgomery,No,NA,NA
87,Montgomery,Yes,NA,NA
146,Montgomery,No,No,NA
455,Montgomery,No,NA,NA
594,Montgomery,Yes,NA,NA
206,Montgomery,Yes,NA,NA
272,Montgomery,Yes,No,NA
234,Montgomery,Yes,NA,NA
583,Montgomery,Yes,NA,NA
223,Montgomery,Yes,NA,NA
110,Montgomery,Yes,NA,NA
204,Montgomery,No,NA,NA
25,Montgomery,Yes,NA,NA
37,Montgomery,Yes,NA,NA
