anon_donor_id,zip,status,do_not_mail,do_not_call,organisation,date,amount,form,campaign,target
587,19096,Active,FALSE,FALSE,N,04/14/2019,50,Check,Fall Towns,Gift
260,19066,Active,FALSE,FALSE,N,04/15/2019,100,Check,Sprg Evt,Gift
660,19010,Active,FALSE,FALSE,N,04/15/2019,100,Check,Sprg Evt,Gift
878,19010,Active,FALSE,FALSE,N,04/15/2019,1000,Check,Fall Towns,Gift
217,19066,Active,FALSE,FALSE,N,04/15/2019,100,Check,Fall Towns,Gift
804,19096,Active,FALSE,FALSE,N,04/15/2019,50,Check,Sprg Evt,Gift
573,19004,Active,FALSE,FALSE,N,04/15/2019,150,Check,Sprg Evt,Gift
749,19096,Active,FALSE,FALSE,N,04/15/2019,50,Check,Sprg Evt,Gift
1049,19041,Active,FALSE,FALSE,N,04/15/2019,200,Check,Sprg Evt,Gift
586,19041,Active,FALSE,FALSE,N,04/15/2019,300,Check,Sprg Evt,Gift
341,19066,Active,FALSE,FALSE,N,04/16/2019,50,Check,Sprg Evt,Gift
444,19003,Active,FALSE,FALSE,Y,04/16/2019,100,Check,Sprg Evt,Gift
11,19333,Active,FALSE,FALSE,N,04/16/2019,100,Check,Sprg Evt,Gift
507,19004,Active,FALSE,FALSE,N,04/16/2019,100,Check,Sprg Evt,Gift
466,19041,Active,FALSE,FALSE,N,04/17/2019,300,Check,Sprg Evt,Gift
119,19041,Active,FALSE,FALSE,N,04/17/2019,60,Check,Sprg Evt,Gift
68,19004,Active,FALSE,FALSE,N,04/17/2019,150,Check,Sprg Evt,Gift
218,19041,Active,FALSE,FALSE,N,04/17/2019,310,Check,Sprg Evt,Gift
77,19041,Active,FALSE,FALSE,N,04/17/2019,250,Check,Sprg Evt,Gift
844,19085,Active,FALSE,FALSE,N,04/17/2019,100,Check,Sprg Evt,Gift
401,19003,Active,FALSE,FALSE,N,04/17/2019,75,Check,Sprg Evt,Gift
430,19035,Active,FALSE,FALSE,N,04/18/2019,100,Check,Fall Towns,Gift
877,19010,Active,FALSE,FALSE,N,04/18/2019,150,Check,Sprg Evt,Gift
712,19064,Active,FALSE,FALSE,N,04/18/2019,75,Check,Sprg Evt,Gift
608,19087,Active,FALSE,FALSE,N,04/18/2019,50,Check,Sprg Evt,Gift
593,19010,Active,FALSE,FALSE,N,04/18/2019,100,Check,Sprg Evt,Gift
230,19066,Active,FALSE,FALSE,N,04/19/2019,100,Check,Misc,Gift
137,19096,Active,FALSE,FALSE,N,04/19/2019,250,Check,Sprg Evt,Gift
413,19010,Active,FALSE,FALSE,N,04/19/2019,75,Check,Sprg Evt,Gift
23,19301,Active,FALSE,FALSE,N,04/19/2019,250,Check,Sprg Evt,Gift
13,19072,Active,FALSE,FALSE,N,04/20/2019,100,Check,Fall Towns,Gift
567,19010,Active,FALSE,FALSE,N,04/20/2019,150,Check,Sprg Evt,Gift
1007,19096,Active,FALSE,FALSE,N,04/20/2019,100,Check,Sprg Evt,Gift
510,19041,Active,FALSE,FALSE,N,04/22/2019,150,Check,Sprg Evt,Gift
486,19004,Active,FALSE,FALSE,N,04/22/2019,60,Check,Sprg Evt,Gift
689,19004,Active,FALSE,FALSE,N,04/22/2019,150,Check,Sprg Evt,Gift
277,19066,Active,FALSE,FALSE,N,04/22/2019,100,Check,Sprg Evt,Gift
774,19041,Active,FALSE,FALSE,N,04/23/2019,100,Check,Sprg Evt,Gift
326,19096,Active,FALSE,FALSE,N,04/24/2019,50,Check,Sprg Evt,Gift
193,19004,Active,FALSE,FALSE,N,04/24/2019,75,Check,Sprg Evt,Gift
802,19010,Active,FALSE,FALSE,N,04/24/2019,150,Check,Sprg Evt,Gift
369,19041,Active,FALSE,FALSE,N,04/24/2019,50,Check,Sprg Evt,Gift
205,19004,Active,FALSE,FALSE,N,04/24/2019,20,Check,Sprg Evt,Gift
231,NA,Active,FALSE,FALSE,N,04/25/2019,50,Check,Fall Towns,Gift
743,NA,Active,FALSE,FALSE,Y,04/25/2019,4,Check,Fall Towns,Gift
823,19004,Active,FALSE,FALSE,N,04/26/2019,50,Check,Sprg Evt,Gift
51,19003,Active,FALSE,FALSE,N,04/26/2019,250,Check,Board,Gift
431,19004,Active,FALSE,FALSE,N,04/27/2019,25,Check,Misc,Gift
1003,19072,Active,FALSE,FALSE,N,04/28/2019,150,Check,Sprg Evt,Gift
1043,19382,Active,FALSE,FALSE,N,04/28/2019,1000,Check,Sprg Evt,Gift
778,19096,Active,FALSE,FALSE,N,04/28/2019,50,Check,Sprg Evt,Gift
239,19131,Active,FALSE,FALSE,N,04/28/2019,20,Check,Sprg Evt,Gift
355,19041,Active,FALSE,FALSE,N,04/29/2019,310,Check,Sprg Evt,Gift
743,NA,Active,FALSE,FALSE,Y,04/29/2019,2,Check,Fall Towns,Gift
743,NA,Active,FALSE,FALSE,Y,04/29/2019,4,Check,Fall Towns,Gift
